Question,Solution
"Statement 1: A block of mass m starts moving on a rough horizontal surface with a velocity v. It stops due to friction between the block and the surface after moving through a certain distance. The surface is now tilted to an angle of 30°with the horizontal and the same block is made to go up on the surface with the same initial velocity v. The decrease in mechanical energy in the second situation is smaller than that in the first situation.
Statement-2: The coefficient of friction between the block and the surface decreases with the increase in the angle of inclination.
A. Statement-1 and 2 are true and statement-2 is a correct explanation for statement-1
B. Statement-1 and 2 are true and statement-2 is not a correct explanation for statement-1
C. Statement-1 is true, statement-2 is false
D. Statement-1 is false, statement-2 is true.","Statement-1 is true, statement-2 is false"
"A block rests on a rough inclined plane making an angle of 300 with the horizontal. The coefficient of static friction between the block and the plane is 0.8. If the frictional force on the block is 10 N, the mass of the block (in kg) is : (taken g =10 m/s2)
A. 2.0
B. 4.0
C. 1.6
D. 2.5","μ = 0.8
f = 10 N
mg sin 30 = 10
m x 10 x (½) =10
m = 2kg"
"A smooth block is released at rest on a 450 incline and then slides a distance d. The time taken to slide is n times as much to slide on a rough incline than on a smooth incline. The coefficient of friction is-
A. μk=1- 1/n2
B. μk=√(1- 1/n2)
C. μs=1- 1/n2
D. μs=√(1- 1/n2)","On a smooth plane
d = ½ (g sinθ) t1
t1=√(2d/gsinθ)
On a rough surface
d = ½ (g sinθ – μg cosθ) t2
t2=√(2d/(g sinθ- μ g cosθ))
From the question, we know
t2 = nt1
√(2d/(g sinθ- μ g cosθ))=n√(2d/g sinθ)
n=1/√(1- μk)
n2=1/(1- μk)
1-μk = 1/n2
μk=1- 1/n2"
"The upper half of an inclined plane with inclination Φ is perfectly smooth, while the lower half is rough. A body starting from rest at the top will again come to rest at the bottom, if the coefficient of friction for the lower half is given by
A. 2 sinΦ
B. 2 cosΦ
C. 2 tanΦ
D. tanΦ","Suppose the length of the plane is L.  When the block slides down the plane, the increase in the K.E will be equal to the decrease in the P.E
Work done, W = Change in K.E (ΔK) = (1/2) mu2 – (1/2)mv2= 0
Work done by friction (Wf) + Work done by gravity (Wg) = 0
-μgcosΦ(L/2) + mgLsinΦ = 0
⇒ (μ/2) cosΦ = sinΦ
⇒ μ = 2tanΦ"
"Consider a car moving on a straight road with a speed of 100 m/s. The distance at which a car can be stopped is : (μk = 0.5)
A. 800 m
B. 1000 m
C. 100 m
D. 400 m","When the car is stopped by friction then its retarding force is
ma = μR
ma = μmg
a= μg
Consider the equation v2 = u2 -2as (the car is retarding so a is negative)
0 = u2 -2as
2as = u2
s = u2/2a
s = u2/2μg
s = (100)2/2 x 0.5 x 10
s = 1000 m"
"The minimum force required to start pushing a body up a rough (frictional coefficient μ) inclined plane F1 while the minimum force needed to prevent it from sliding down is F2. If the inclined plane makes an angle θ from the horizontal such that tan θ= 2μ then the ratio F1/F2 is
A. 4
B. 1
C. 2
D. 3","We have to work against the sliding force due to gravity and frictional force to push upwards. Therefore, the force F1= mgsinθ + μmgcosθ.
To stop the body from sliding work is done against sliding force but frictional force stops the body from sliding.
Therefore, the force F2= mgsinθ – μmgcosθ.
F1/F2 = (mgsinθ + μmgcosθ)/ (mgsinθ – μmgcosθ)
F1/F2 = (tanθ +μ) / (tanθ – μ)
(since tanθ = 2μ)
F1/F2 = (2μ +μ) /(2μ – μ)
F1/F2 = 3"
"A body of mass m=10−2 kg is moving in a medium and experiences a frictional force F=−kv2. Its initial speed is v0= 10 ms−1. If, after 10 s, its energy is ⅛ mv02, the value of k will be
A. 10−3 kg m−1
B. 10−3 kg s−1
C. 10−4 kg m−1
D. 10−1 kg m−1 s−1","Mass m = 102 Kg
Initial velocity v0= 10 ms−1
Time t = 10 s
Frictional Force F=− kv2
1/2 mvf2 = ⅛ mv02
vf = v0 /2
vf = 10 /2 = 5 m/s
Now, the force is
(10-2)dv/dt = -kv2
∫(from 10 to 5) dv/v2=-100k∫(from 0 to 10)dt
⅕ = 1/10 = 100k x 10
k = 10-4"
"A block of mass m is placed on a surface with a vertical cross-section given by y =x3/ 6. If the coefficient of friction is 0.5, the maximum height above the ground at which the block can be placed without slipping is
A. ⅓ m
B. ½ m
C. ⅙ m
D. ⅔ m","For equilibrium under limiting friction
mg sinθ = μmgcosθ
tanθ = μ———(1)
The equation of the surface is given by y = x3/ 6
Slope dy/dx = x2/ 2——-(2)
From (1) and (2) we get
μ = x2/ 2 = 0.5
x= 1
So, y =⅙"
"Given in the figure are two blocks A and B of weight 20 N and 100 N, respectively. These are being pressed against a wall by a force F as shown. If the coefficient of friction between the blocks is 0.1 and between block B and the wall is 0.15, the frictional force applied by the wall on block B is
A. 120 N
B. 150 N
C. 100 N
D. 80 N","For equilibrium of A
f1 = 20
For equilibrium of B
f2 = f1 + 100
f2 = 120 N"
"Two masses m1= 5 kg and m2= 10 kg, connected by an inextensible string over a frictionless pulley, are moving as shown in the figure. The coefficient of friction of the horizontal surface is 0.15. The minimum weight m that should be put on top of m2 to stop the motion is
A. 27.3 kg
B. 43.3 kg
C. 10.3 kg
D. 18.3 kg","50 – T = 5 × a
T – 0.15 (m + 10) g = (10 + m)a
a = 0 for rest
50 = 0.15 (m + 10) 10
5 =3/20(m + 10)
100/3= m + 10 m = 23.3 kg
So the minimum weight required from the options given is 27.3 kg"
"The given diagram shows four processes i.e., isochoric, isobaric, isothermal and adiabatic. The correct assignment of the processes, in the same order, is given by
A. d a c b
B. d a b c
C. a d b c","In an isochoric process, volume remains constant while in the isobaric process, pressure remains the same. The slope of an isothermal process is given as (-P/V) while for an adiabatic process, the slope of the P – V curve is (-γP/V), where γ >1. The adiabatic curve is steeper than the isothermal curve."
"The ratio of work done by an ideal monoatomic gas to the heat supplied to it in an isobaric process is
A. 2/5
B. 3/2
C. 3/5
D. 2/3","For an ideal gas in an isobaric process, Heat supplied, Q = nCpΔT, Work done, W = PΔV = nRΔT, Required Ratio = W/Q, Required Ratio = (nRΔT)/(nCpΔT), R/Cp= R/(γR/γ -1) [since γ = 5/3, for a monoatomic gas] = 2/5"
"The work of 146 kJ is performed in order to compress one-kilo mole of gas adiabatically and in this process the temperature of the gas increases by 7ºC. The gas is (R = 8.3 J mol–1 K–1)
A. monoatomic
B. diatomic
C. triatomic
D. a mixture of monoatomic and diatomic","Increase in temperature, ΔT = T2 – T1 = 7K (Since it is change in temperature so its value will be same in Kelvin and degree celsius), Work done on the system, W=146 KJ=146×1000 J, Number of moles of gas, n=1000, Work done in an adiabatic process, W=nR(T2−T1)/γ−1 put the values, 146000=1000×8.3×7/(γ−1), γ−1=0.39, γ≈1.4, Hence the gas is diatomic"
"Two moles of an ideal monatomic gas occupies a volume V at 27°C. The gas expands adiabatically to a volume 2V. Calculate (i) the final temperature of the gas and (ii) change in its internal energy.
A. (i) 198 K (ii) 2.7 kJ
B. (i) 195 K (ii) 2.7 kJ
C. (i) 189 K (ii) 2.7 kJ
D. (i) 195 K (ii) 2.7 kJ","For an adiabatic process, PVγ = constant, (nRT/V)Vγ = constant or TVγ – 1 = constant, T1V1γ – 1 = T2V2γ – 1, T2 = T1 [V1 / V2]γ – 1, Here, T1 = 27°C = 300 K, V1 = V, V2 = 2V, γ = 5/3, T2 = 300(V/2V)(5/3 – 1) = 300 (½)2/3 = 189K, Change in internal energy, ΔU = nCVΔT, ΔU = n[(f/2)R](T2 – T1) = 2 x (3/2) x (25/3)(189 – 300), ΔU = – 2.7 kJ"
"A wooden wheel of radius R is made of two semicircular parts (see figure). The two parts are held together by a ring made of a metal strip of cross-sectional area S and Length L. L is slightly less than 2πR. To fit the ring on the wheel, it is heated so that its temperature rises by ΔT and it just steps over the wheel. As it cools down to the surrounding temperature, it presses the semicircular parts together. If the coefficient of linear expansion of the metal is α, and it’s Young’s modulus is Y, the force that one part of the wheel applies on the other part is
A. 2SYαΔT
B. 2πSYαΔT
C. SYαΔT
D. πSYαΔT","Radius = R, Cross -sectional area = S, Length = L, Y = Young’s modulus, α = coefficient of thermal expansion, Y = Stress/Strain =FL/AΔL ——(1), Strain, ΔL/L = αΔT, Putting the values in equa (1), Y = F/S αΔT, F = SY αΔT"
"The pressure that has to be applied to the ends of a steel wire of length 10 cm to keep its length constant when its temperature is raised by 1000C is (For steel Young’s modulus is 2 x 1011 Nm-2 and coefficient of thermal expansion is 1.1 x 10-5 K-1)
A. 2.2 x 107 Pa
B. 2.2 x 106 Pa
C. 2.2 x 108 Pa
D. 2.2 x 109 Pa","Given, ΔT = 100°C, Y = 2 × 1011 N m–2, α= 1.1 × 10–5 K–1, Young’s modulus, Y = stress/strain = (F/A)/(ΔL/L), Therefore, Y = P/(ΔL/L), Y= P/αΔT [ since ΔL = LαΔT], Thermal stress in a rod is the pressure due to the thermal strain., Required pressure P = YαΔT = 2 × 1011 × 1.1 × 10–5 × 100 = 2.2 × 108 Pa"
"Two wires are made of the same material and have the same volume. However, wire 1 has cross-sectional area A and wire 2 has cross-sectional area 3A. If the length of wire 1 increases by Δx on applying force F, how much force is needed to stretch wire 2 by the same amount?
A. 6F
B. 9F
C. F
D. 4F","For the same material, Young’s modulus is the same and it is given that the volume is the same and the area of the cross-section for the wire l1 is A and that of l2 is 3A., V = V1 = V2, V = A × l1 = 3A × l2, l2 = l1/3, Y = (F/A)/(Δl/l) ⇒ F1 = YA(Δl1/l1), F2 = Y3A(Δl2/l2), Given Δl1 = Δl2 = Δx (for the same extension), F2 = Y3A(Δx /l1/3) = 9(YAΔx/l1) = 9F1 or 9F"
"A uniform cylindrical rod of length L and radius r, is made from a material whose Young’s modulus of elasticity equals Y. When this rod is heated by temperature T and simultaneously subjected to a net longitudinal compressional force F, its length remains unchanged. The coefficient of volume expansion, of the material of the rod, is (nearly) equal to
A. 9F/(πr 2YT)
B. F/(3πr2YT)
C. 6F/(πr2YT)
D. 3F/(πr2YT)","Given, Length = L, Longitudinal force = F, Radius = r, Young’s modulus = Y, Temperature = T, Since length remains same, (Stress)Compressive = (Stress)Thermal, F/A = YαT ⇒ F/πr2 = YαT (where α= coeficient of linear expansion), α = F/πr2YT, Coefficient of volume expansion,γ = 3α, γ = 3F/πr2YT["
"During an adiabatic process, the pressure of a gas is found to be proportional to the cube of its absolute temperature. The ratio CP /CV for the gas is
A. 4/3
B. 2
C. 5/3
D. 3/2","In an adiabatic process, Tγ = (constant)Pγ-1, Tγ/γ-1 = (constant)P, Given T3 = (constant) P, γ/γ-1 = 3 ⇒3γ – 3 =γ ⇒ γ =3/2"
"An external pressure P is applied on a cube at 0°C so that it is equally compressed from all sides. K is the bulk modulus of the material of the cube and is its coefficient of linear expansion. Suppose we want to bring the cube to its original size by heating. The temperature should be raised by
A. 3/PαK
B. P/3αK
C. 3α/PK
D. 3PKα","The bulk modulus of the gas is given by K = – P/(ΔV/V0) (Here negative sign indicates the decrease in volume with pressure), ΔV/V0 = P/K [in magnitude]……(1), Also, V = V0(1 + γΔT) or ΔV/V0 = γΔT ……(2), Comparing eq. (1) and (2), we get P/K = γΔT, ΔT = P/ 3αK (since γ= 3α)"
"Steel wire of length ‘L’ at 40°C is suspended from the ceiling and then a mass “m” is hung from its free end. The wire is cooled down from 40°C to 30°C to regain its original length “L”.The coefficient of linear thermal expansion of the steel is 10-5/°C, Young’s modulus of steel is 1011 N/m2 and radius of the wire is 1 mm. Assume that L>> diameter of the wire. Then the value of “m” in kg is nearly
","E = (F/A)/(ΔL/L) = (F x L)/(A x ΔL) ⇒ (ΔL/L) = F/AE, Since, (ΔL/L)= αΔt, αΔt = F/AE, αΔt = mg/AE, m = [(αΔt)/g] AE = (10-5 x 10 x π x 10-6 x 1011)/10, m = 3.14 ⋍3"
"A diatomic gas with rigid molecules does 10J of work when expanded at constant pressure. What would be the heat energy absorbed by the gas, in this process?
A. 25 J
B. 35 J
C. 30 J
D. 40 J","The value of Cp for a diatomic gas is, Cp = (7/2) R —–(1), It is given that work done during expansion at constant pressure is dW = 10 J = nRΔT, Since the gas undergoes an isobaric process, ⇒ΔQ = n(7/2)RΔT = 7/2 (nRΔT) = (7/2) (10) = 35 J"
"A gas can be taken from A to B via two different processes ACB and ADB. When the path ACB is used 60 J of heat flows into the system and 30 J of work is done by the system. If path ADB is used, work done by the system is 10 J. The heat flow into the system in path ADB is
A. 100 J
B. 80 J
C. 40 J
D. 20 J","ΔQ = ΔU + ΔW, ΔU = ΔQ – ΔW, (ΔU)ACB = (ΔU)ADB, 60 – 30 = ΔQ – 10, ΔQ = 40 J"
"In a process, temperature and volume of one mole of an ideal monoatomic gas are varied according to the relation VT = K, where K is a constant. In this process, the temperature of the gas is increased by T. The amount of heat absorbed by gas is given by (R is gas constant)
A. (2K/3)ΔT
B. ½RΔT
C. (3/2)RΔT
D. (½)KRΔT","VT = K, V(PV/R) = K, PV2 = constant. For a polytropic process, C = (R/1-x) + Cv = (R/1-2) + 3R/2 = R/2, ΔQ = n C T = (½) RΔT"
"A cylinder with a fixed capacity of 67.2 lit contains helium gas at STP. The amount of heat needed to raise the temperature of the gas by 20°C is [Given that R = 8.31 J mol–1 K–1]
A. 350 J
B. 700 J
C. 748 J
D. 374 J","Number of moles of gas, n = (67.2 /22.4) = 3 mol, ΔQ = nCvΔT = 3 x (3/2)R x ΔT = 3 x (3/2) x (8.31) x 20 = 747.9 =748 J"
"200 g water is heated from 40° C to 60°C. Ignoring the slight expansion of water, the change in its internal energy is close to (Given specific heat of water = 4184 J/kg/K)
A. 167.4 kJ
B. 8.4 kJ
C. 4.2 kJ
D. 16.7 kJ","For isochoric process, ΔU = Q = msΔT. Here, m = 200 g = 0.2 kg, s = 4184 J/kg/K, ΔT = 60°C – 40°C = 20 °C, ΔU = 0.2 × 4184 x 20 = 16736 J = 16.7 kJ"
"A diatomic gas with rigid molecules does 10 J of work when expanded at constant pressure. What would be the heat energy absorbed by the gas, in this process?
A. 25 J
B. 30 J
C. 35 J
D. 40 J","Given that the process is isobaric. Therefore, heat energy absorbed by the gas is ΔQ = nCPT …(1), Also, work done by the gas is W = nRT = 10 J (given)…….(2). Since, CP = (7/2) R for a diatomic gas, ΔQ = n(7/2) RΔT (Using 1), ΔQ =(7/2)nRΔT =( 7/2) x 10 (Using 2), ΔQ = 35 J"
"A long metallic bar is carrying heat from one of its ends to the other end under steady-state. The variation of temperature θ along the length x of the bar from its hot end is best described by which of the following figures?
","The heat flow rate is given by dQ/dt = KA(θ1 – θ)/x, θ1 – θ = (x/KA)(dQ/dt) ⇒ θ = θ1 – (x/KA)(dQ/dt), θ1 = Temperature at the hot end, θ = Temperature at a distance x from hot end. The above equation can be represented graphically by Answer: (4)"
"If a piece of metal is heated to temperature θ and then allowed to cool in a room which is at a temperature θ the graph between the temperature T of the metal and time t will be closed to
","According to Newton’s law of cooling, the rate of loss of heat is proportional to the difference in temperature of the body and the surroundings, dQ/dt = – k(T2 – T1)——-(1), dQ/dt = msdT2/dt——–(2), From (1) and (2) we get, msdT2/dt = – k(T2 – T1), dT2 /(T2 – T1) = (-k/ms)dt = -Kdt [K = k/ms], On integrating we get, log e(T2 – T1) = -Kt + C, T2 = T1 + C’e-Kt (where, C’ = ec]. This variation is represented by graph (c), Answer: (c)"
"A heat source at T=103 K is connected to another heat reservoir at T = 102 K by a copper slab that is 1mm thick. Given that the thermal conductivity of copper is 0.1 WK-1m-1, the energy flux through it in the steady state is
90 Wm-2
120 Wm-2
65 Wm-2
200 Wm-2","(dQ/dt) = (kAΔT)/l, Energy flux, 1/A (dQ/dt) = kΔT/l, = (0.1)(900)/1 = 90 W/m2, Answer: (1) 90 Wm-2"
"Two materials having coefficients of thermal conductivity ‘3K’ and ‘K’ and thickness’ and ‘3d’ respectively, are joined to form a slab as shown in the figure. The temperature of the outer surface is ‘θ2’ and ‘θ1’ respectively, (θ2 ＞θ1). The temperature at the interface is
(θ1/10) + (9θ2/10)
(θ2 + θ1)/2
(θ1/6) + (5θ2/6)
(θ1/3) + (2θ2/3)","H1= H2θ2, 9(θ2 – θ) = θ – θ1, 9θ2 + θ1 = θ + 9θ, θ = (θ1/10) + (9θ2/10), Answer: (1) (θ1/10) + (9θ2/10)"
"A cylinder of radius R is surrounded by a cylinder shell of inner radius 2R. The thermal conductivity of the material of the cylinder is K1 and that of the outer cylinder is K2. Assuming no loss of heat, the effective thermal conductivity of the system for heat flowing along the length of the cylinder is
(K1 + K2)/2
K1 + K2
(2K1 + 3K2)/5
(K1 + 3K2)/4","Keq = (K1A1 + K2A2)/(A1 + A2), Keq = K1πR2 + K2[π(2R)2 – πR2]/π(2R)2, = K1πR2 + K2 [3πR2]/π4R2, = (K1+ 3K2)/4"
"Heat given to a body which raises its temperature by 1°C is
(a) water equivalent
(b) thermal capacity
(c) specific heat
(d) temperature gradient",(b)  thermal capacity
"The temperature of the two outer surfaces of a composite slab, consisting of two materials having coefficients of thermal conductivity K and 2K and thickness x and 4x, respectively are T2 and T1 (T2 > T1). The rate of heat transfer through the slab, in a steady-state, is [A(T2-T1)K/x]f, with f equal to
1
½
⅔
1/3","For the first surface, Q1 = KA(T2 -T)t/x, For second surface, Q2 = (2K)A(T -T1)t/(4x), At steady state, Q2 = Q1⇒ KA(T2 -T)t/x = (2K)A(T -T1)t/(4x), Or 2(T2 -T) = (T -T1), T = (2T2+ T1)/3, Q1 = KA(T2 – [(2T2+T1)/3])t/x, H = Q1/t = KA(T2 – [(2T2+T1)/3])/x, = KA(T2- T1)/3x, [A(T2-T1)K/x]f = KA/x [T2-T1/3], f = ⅓"
"According to Newton’s law of cooling, the rate of cooling of a body is proportional to (ΔӨ)n, where is the difference of the temperature of the body and the surroundings, and n is equal to
(a) two
(b) three
(c) four
(d) one","According to Newton’s law of cooling, the rate of cooling is proportional to ΔӨ (ΔӨ ) n = (ΔӨ) or n = 1. Answer: (d)one"
"When an ideal diatomic gas is heated at constant pressure, the fraction of the heat energy supplied which increases the internal energy of the gas is
(a) 2/5
(b) 3/5
(c) 3/7
(d) 5/7","ΔU = nCvΔT, ΔQ = nCpΔT, Therefore, ΔU/ΔQ = nCvΔT/nCpΔT = Cv/Cp = 1/γ = 5/7, Answer: (d) 5/7"
